ID,Title,Internal Name,Type,Location,Status,Host Editor URL,Public URL,Extracted At
"947584081523929277","Comfortable bed local lifestyle party st DeTham D1","23 - Pepper","nhà","Quận 1, Việt Nam","Đã đăng","https://www.airbnb.com.vn/hosting/listings/editor/947584081523929277/details","https://www.airbnb.com.vn/rooms/947584081523929277","2026-05-20T05:03:55.030Z"
"1027230099688745912","Glamorous Cozy Unit in CBD","LL - Coffee 1","nhà","Quận 1, Việt Nam","Đã đăng","https://www.airbnb.com.vn/hosting/listings/editor/1027230099688745912/details","https://www.airbnb.com.vn/rooms/1027230099688745912","2026-05-20T05:03:55.030Z"
"33932700","Latte Lounge - Estatic apartment - Local Vibe","LL - Latte 2","nhà","Thành phố Hồ Chí Minh, Việt Nam","Đã đăng","https://www.airbnb.com.vn/hosting/listings/editor/33932700/details","https://www.airbnb.com.vn/rooms/33932700","2026-05-20T05:03:55.030Z"
"1027327396117322855","Latte Lounge - Heart of D1 #Netflix #Central","LL - Milk 3","nhà","Thành phố Hồ Chí Minh, Việt Nam","Đã đăng","https://www.airbnb.com.vn/hosting/listings/editor/1027327396117322855/details","https://www.airbnb.com.vn/rooms/1027327396117322855","2026-05-20T05:03:55.030Z"
